State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
FL,South,South Atlantic,Alachua County,12001,12001,Region 15,1/1/2014,7187.0,0.146,3.5,3.3,0.09,0.144,0.252,6.599,0.214,0.709,0.141,0.261,689.8,20.4,0.204,136.0,146.0,371.0,59.19,0.85,0.67,0.645,0.747,0.066,0.269,,0.384,,702.21,61.4,11.62,0.031,0.24,0.73,0.222,251417,0.014,0.212,0.072,383.1,354.6,10.1,81.7,0.192,0.072,13.71,8.49,0.233,0.108,9515.0,0.128,195.0,41297,0.409,4.63,0.207
FL,South,South Atlantic,Alachua County,12001,12001,Region 15,1/1/2015,6743.0,0.146,3.5,3.3,0.09,0.144,0.246,6.2,0.207,0.853,0.141,0.289,749.8,20.4,0.204,134.0,158.0,464.0,58.38,0.84,0.65,0.704,0.753,0.054,0.257,6.295,0.39,9.466,625.64,59.1,11.62,0.002,0.246,0.73,0.222,253451,0.013,0.212,0.073,383.1,335.9,9.5,79.8,0.191,0.072,12.37,8.94,0.233,0.102,9610.0,0.128,211.0,39614,0.411,4.5,
FL,South,South Atlantic,Baker County,12003,12003,Region 15,1/1/2014,10435.0,0.289,7.5,4.7,0.1,0.202,0.367,6.614,0.321,0.441,0.119,0.351,335.1,67.5,0.179,26.0,27.0,82.0,92.07,0.77,0.6,0.65,0.338,0.078,0.261,,0.323,,206.2,96.4,12.01,0.0,0.124,0.834,0.513,27086,0.002,0.595,0.134,380.0,494.8,8.6,85.6,0.162,0.128,27.51,24.21,0.223,0.087,12896.0,0.17,37.0,45721,0.404,7.15,0.209
FL,South,South Atlantic,Baker County,12003,12003,Region 15,1/1/2015,9702.0,0.289,7.5,4.7,0.09,0.202,0.371,6.4,0.327,0.54,0.119,0.389,461.5,65.4,0.17,33.0,41.0,100.0,80.16,0.77,0.64,0.73,0.363,0.067,0.256,4.232,0.301,9.23,204.57,76.9,12.01,0.0,0.165,0.853,0.51,27013,0.001,0.595,0.138,380.0,456.7,10.1,92.8,0.158,0.128,28.88,19.79,0.213,0.079,13241.0,0.17,48.0,46505,0.472,6.1,
FL,South,South Atlantic,Bay County,12005,12005,Region 16,1/1/2014,8802.0,0.171,5.6,5.6,0.09,0.245,0.285,6.983,0.246,0.472,0.211,0.408,385.0,54.6,0.21,57.0,43.0,170.0,74.38,0.75,0.62,0.68,0.598,0.083,0.26,,0.343,,549.44,81.3,12.44,0.104,0.165,0.818,0.246,171903,0.009,0.12,0.103,265.8,434.4,8.8,61.0,0.16,0.096,20.6,15.84,0.246,0.111,11812.0,0.239,90.0,45259,0.461,5.89,0.207
FL,South,South Atlantic,Bay County,12005,12005,Region 16,1/1/2015,8475.0,0.171,5.6,5.6,0.08,0.245,0.287,6.6,0.253,0.784,0.211,0.375,377.5,53.8,0.196,53.0,46.0,207.0,69.37,0.75,0.62,0.74,0.598,0.068,0.284,4.05,0.351,9.133,517.59,77.7,12.44,0.311,0.169,0.833,0.262,174987,0.01,0.12,0.104,265.8,425.6,6.6,61.5,0.164,0.096,17.78,14.12,0.23,0.102,11657.0,0.239,99.0,45249,0.435,6.9,
FL,South,South Atlantic,Bradford County,12007,12007,Region 15,1/1/2014,10110.0,0.147,3.7,5.0,0.1,0.132,0.357,7.624,0.311,0.372,0.159,0.286,566.3,72.7,0.2,25.0,16.0,13.0,125.7,0.83,0.66,0.61,0.38,0.072,0.345,,0.353,,413.81,101.5,11.78,0.0,0.152,0.819,0.394,27049,0.006,0.755,0.133,484.1,491.0,,91.2,0.166,0.023,32.07,21.54,0.238,0.104,10846.0,,59.0,38680,0.57,,
FL,South,South Atlantic,Bradford County,12007,12007,Region 15,1/1/2015,9173.0,0.147,3.7,5.0,0.11,0.132,0.359,7.2,0.311,0.821,0.159,0.281,591.5,70.0,0.193,37.0,22.0,15.0,110.33,0.82,0.67,0.64,0.39,0.057,0.291,4.542,0.316,11.091,398.35,101.6,11.78,0.0,0.156,0.827,0.417,26850,0.006,0.755,0.137,484.1,456.0,8.4,84.9,0.169,0.023,26.62,23.61,0.232,0.093,11445.0,,67.0,40668,0.586,,
FL,South,South Atlantic,Brevard County,12009,12009,Region 15,1/1/2014,7701.0,0.14,4.3,4.3,0.08,0.218,0.284,7.026,0.251,0.755,0.197,0.326,293.1,30.7,0.205,72.0,52.0,122.0,60.8,0.84,0.66,0.81,0.643,0.092,0.232,,0.336,,616.96,79.4,10.68,0.108,0.173,0.829,0.293,547307,0.013,0.051,0.124,250.7,358.7,7.0,54.8,0.152,0.108,14.55,22.63,0.239,0.107,10808.0,0.178,66.0,46332,0.355,5.25,0.192
FL,South,South Atlantic,Brevard County,12009,12009,Region 15,1/1/2015,7962.0,0.14,4.3,4.3,0.08,0.218,0.289,6.7,0.25,0.909,0.197,0.325,321.2,28.9,0.199,72.0,55.0,144.0,56.97,0.85,0.66,0.85,0.646,0.079,0.219,4.401,0.347,7.784,572.6,82.6,10.68,0.189,0.174,0.829,0.29,550823,0.013,0.051,0.122,250.7,369.1,6.7,59.2,0.152,0.108,13.42,22.43,0.232,0.102,11027.0,0.178,72.0,46677,0.378,6.1,
FL,South,South Atlantic,Broward County,12011,12011,Region 15,1/1/2014,6599.0,0.137,3.4,3.4,0.09,0.143,0.241,7.596,0.236,0.938,0.15,0.194,398.3,28.7,0.26,74.0,66.0,125.0,63.55,0.85,0.61,0.72,0.659,0.074,0.214,,0.373,,505.05,61.6,10.71,0.11,0.267,0.796,0.426,1815137,0.072,0.0,0.092,1078.8,317.4,6.2,54.0,0.165,0.028,13.45,16.14,0.308,0.129,11904.0,0.155,47.0,49564,0.458,5.08,0.234
FL,South,South Atlantic,Broward County,12011,12011,Region 15,1/1/2015,6155.0,0.137,3.4,3.4,0.09,0.143,0.247,7.5,0.227,0.995,0.15,0.211,406.7,27.1,0.259,74.0,67.0,152.0,59.44,0.86,0.61,0.76,0.661,0.061,0.195,4.849,0.379,5.438,484.95,59.2,10.71,0.152,0.273,0.796,0.427,1838844,0.072,0.0,0.095,1078.8,301.7,6.1,49.8,0.156,0.028,12.28,15.38,0.305,0.129,11895.0,0.155,51.0,50343,0.483,5.3,
FL,South,South Atlantic,Calhoun County,12013,12013,Insuff Data,1/1/2014,8143.0,0.358,7.2,5.5,0.09,0.302,0.361,6.194,0.32,0.127,0.081,0.5,291.5,59.1,0.228,41.0,42.0,18.0,99.93,0.78,0.58,0.725,0.339,0.081,0.307,,0.401,,111.6,73.7,12.29,0.0,0.184,0.851,0.455,14723,0.023,0.675,0.135,510.2,422.8,,88.6,0.181,0.132,20.16,12.1,0.279,0.109,11557.0,,20.0,33418,0.522,,0.237
FL,South,South Atlantic,Calhoun County,12013,12013,Insuff Data,1/1/2015,8173.0,0.358,7.2,5.5,0.07,0.302,0.37,5.9,0.325,0.043,0.081,0.444,414.3,56.5,0.215,41.0,48.0,20.0,101.79,0.82,0.62,0.775,0.342,0.068,0.327,4.054,0.412,9.509,117.12,75.2,12.29,0.0,0.179,0.824,0.451,14682,0.016,0.675,0.142,510.2,436.6,,,0.176,0.132,19.73,11.84,0.261,0.105,12684.0,,34.0,33977,,,
FL,South,South Atlantic,Charlotte County,12015,12015,Region 15,1/1/2014,7877.0,0.202,3.9,5.0,0.08,0.221,0.257,7.119,0.228,0.755,0.131,0.282,199.4,33.9,0.226,70.0,45.0,88.0,61.64,0.87,0.77,0.73,0.559,0.088,0.244,,0.351,,264.74,59.9,10.54,0.004,0.191,0.804,0.284,162449,0.011,0.089,0.13,163.5,332.2,6.0,44.4,0.141,0.12,16.49,6.67,0.255,0.127,10941.0,0.184,52.0,44454,0.493,3.15,0.235
FL,South,South Atlantic,Charlotte County,12015,12015,Region 15,1/1/2015,7947.0,0.202,3.9,5.0,0.08,0.221,0.248,6.8,0.231,0.911,0.131,0.287,177.3,33.2,0.22,72.0,49.0,101.0,56.41,0.87,0.77,0.79,0.548,0.072,0.253,3.873,0.358,7.325,242.56,61.5,10.54,0.003,0.192,0.79,0.281,164736,0.011,0.089,0.134,163.5,340.5,5.3,38.7,0.142,0.12,14.02,5.18,0.25,0.114,11220.0,0.184,58.0,43611,0.503,3.1,
FL,South,South Atlantic,Citrus County,12017,12017,Region 15,1/1/2014,9905.0,0.173,4.4,4.6,0.08,0.238,0.293,7.021,0.263,0.678,0.15,0.291,277.8,43.0,0.225,57.0,30.0,42.0,50.12,0.87,0.72,0.75,0.45,0.098,0.342,,0.389,,342.59,96.2,11.31,0.168,0.151,0.82,0.301,139360,0.007,0.345,0.129,85.9,433.6,6.8,52.5,0.152,0.108,24.61,18.2,0.261,0.108,10159.0,0.211,58.0,38937,0.464,3.41,0.202
FL,South,South Atlantic,Citrus County,12017,12017,Region 15,1/1/2015,10012.0,0.173,4.4,4.6,0.07,0.238,0.27,6.7,0.26,0.871,0.15,0.279,261.2,42.4,0.213,53.0,28.0,46.0,50.85,0.88,0.72,0.78,0.468,0.084,0.291,4.131,0.399,9.041,325.84,109.1,11.31,0.059,0.149,0.83,0.315,139271,0.006,0.345,0.121,85.9,443.1,6.7,44.3,0.151,0.108,21.87,22.38,0.247,0.106,10290.0,0.211,60.0,39285,0.506,4.9,
FL,South,South Atlantic,Clay County,12019,12019,Region 15,1/1/2014,6980.0,0.125,3.3,3.5,0.08,0.209,0.282,7.909,0.248,0.643,0.16,0.419,349.3,33.1,0.17,67.0,47.0,63.0,73.46,0.81,0.63,0.74,0.637,0.076,0.153,,0.289,,439.85,64.4,11.76,0.007,0.141,0.821,0.545,194345,0.015,0.15,0.112,145.5,361.1,6.5,38.4,0.135,0.055,17.58,14.1,0.203,0.096,11334.0,0.142,70.0,56359,0.286,5.23,0.179
FL,South,South Atlantic,Clay County,12019,12019,Region 15,1/1/2015,6922.0,0.125,3.3,3.5,0.08,0.209,0.288,7.7,0.247,0.898,0.16,0.435,378.2,30.9,0.172,62.0,47.0,79.0,67.67,0.8,0.66,0.74,0.661,0.063,0.141,3.776,0.289,7.512,412.38,63.1,11.76,0.007,0.147,0.825,0.549,196399,0.014,0.15,0.11,145.5,350.5,5.9,34.9,0.134,0.055,15.42,15.12,0.208,0.088,11808.0,0.142,75.0,57991,0.33,4.9,
FL,South,South Atlantic,Collier County,12021,12021,Region 15,1/1/2014,5876.0,0.168,3.4,3.6,0.07,0.145,0.209,7.496,0.175,0.644,0.175,0.234,221.3,43.9,0.286,67.0,60.0,83.0,42.19,0.85,0.76,0.73,0.478,0.085,0.244,,0.328,,320.31,74.3,10.55,0.098,0.226,0.747,0.276,332427,0.104,0.085,0.101,309.1,238.4,5.9,62.8,0.142,0.081,13.9,15.27,0.333,0.16,9826.0,0.165,65.0,54475,0.517,3.93,0.195
FL,South,South Atlantic,Collier County,12021,12021,Region 15,1/1/2015,5488.0,0.168,3.4,3.6,0.07,0.145,0.199,7.4,0.169,0.914,0.175,0.262,241.0,39.3,0.279,69.0,64.0,97.0,41.56,0.86,0.76,0.78,0.485,0.069,0.241,4.425,0.353,7.34,293.66,74.8,10.55,0.049,0.232,0.743,0.288,339642,0.101,0.085,0.101,309.1,235.0,6.3,52.5,0.133,0.081,12.3,14.97,0.334,0.133,9862.0,0.165,67.0,55584,0.53,4.6,
FL,South,South Atlantic,Columbia County,12023,12023,Region 15,1/1/2014,10275.0,0.22,4.8,4.5,0.09,0.239,0.349,6.973,0.304,0.609,0.162,0.315,474.2,63.9,0.219,46.0,37.0,80.0,95.77,0.83,0.63,0.63,0.475,0.081,0.337,,0.398,,560.23,101.6,11.93,0.006,0.182,0.834,0.248,67966,0.008,0.621,0.129,392.1,483.4,12.3,94.4,0.171,0.076,34.88,17.22,0.262,0.112,11035.0,0.203,84.0,37091,0.526,5.89,0.222
FL,South,South Atlantic,Columbia County,12023,12023,Region 15,1/1/2015,9339.0,0.22,4.8,4.5,0.09,0.239,0.358,6.5,0.303,0.766,0.162,0.278,472.3,61.5,0.207,44.0,44.0,121.0,91.94,0.83,0.65,0.65,0.486,0.067,0.295,4.265,0.397,8.828,614.03,104.5,11.93,0.01,0.185,0.834,0.258,67543,0.007,0.621,0.135,392.1,464.8,10.9,71.3,0.177,0.076,28.29,18.29,0.249,0.1,10739.0,0.203,87.0,41722,0.558,6.5,
FL,South,South Atlantic,DeSoto County,12027,12027,Region 15,1/1/2014,7540.0,0.162,3.4,3.5,0.07,0.161,0.344,7.134,0.311,0.167,0.154,0.459,298.0,73.1,0.328,34.0,23.0,26.0,115.65,0.86,0.68,0.63,0.248,0.092,0.435,,0.483,,717.68,76.4,10.62,0.005,0.189,0.652,0.321,34712,0.124,0.462,0.128,577.9,365.3,,54.2,0.173,0.057,31.61,6.24,0.4,0.16,12435.0,0.146,35.0,33602,0.658,4.58,0.227
FL,South,South Atlantic,DeSoto County,12027,12027,Region 15,1/1/2015,7081.0,0.162,3.4,3.5,0.07,0.161,0.347,6.9,0.316,0.536,0.154,0.5,322.7,68.2,0.318,35.0,20.0,35.0,88.55,0.87,0.65,0.68,0.23,0.076,0.465,3.8,0.472,9.219,556.03,64.6,10.62,0.004,0.204,0.663,0.291,34517,0.124,0.462,0.131,577.9,347.3,,41.6,0.169,0.057,25.59,5.37,0.391,0.151,12356.0,0.146,43.0,33198,0.698,,
FL,South,South Atlantic,Dixie County,12029,12029,Region 15,1/1/2014,10744.0,0.306,7.1,4.5,0.08,0.312,0.357,7.545,0.334,0.48,0.074,0.44,454.9,63.3,0.215,18.0,23.0,6.0,97.41,0.8,0.45,0.525,0.406,0.109,0.37,,0.379,,481.01,127.1,11.67,0.685,0.089,0.843,0.219,16126,0.007,0.77,0.137,342.2,499.3,,,0.166,0.031,39.54,23.37,0.257,0.101,9433.0,0.313,25.0,31913,0.664,,
FL,South,South Atlantic,Dixie County,12029,12029,Region 15,1/1/2015,10715.0,0.306,7.1,4.5,0.08,0.312,0.357,7.1,0.343,0.32,0.074,0.548,372.1,63.1,0.203,19.0,25.0,6.0,87.14,0.82,0.52,0.775,0.419,0.089,0.395,3.765,0.366,10.542,401.78,128.6,11.67,0.685,0.097,0.869,0.264,15940,0.006,0.77,0.15,342.2,476.9,,,0.173,0.031,48.4,25.52,0.242,0.1,10780.0,0.313,31.0,31649,0.681,,
FL,South,South Atlantic,Duval County,12031,12031,Region 15,1/1/2014,9151.0,0.169,3.9,3.8,0.09,0.204,0.284,6.632,0.256,0.857,0.156,0.335,682.1,47.6,0.193,82.0,64.0,114.0,80.58,0.84,0.65,0.63,0.631,0.088,0.267,,0.408,,719.14,76.4,12.02,0.005,0.18,0.809,0.301,879602,0.022,0.029,0.108,708.6,440.8,10.1,80.3,0.192,0.069,15.98,15.28,0.232,0.089,11901.0,0.147,101.0,43835,0.482,13.97,0.219
FL,South,South Atlantic,Duval County,12031,12031,Region 15,1/1/2015,8607.0,0.169,3.9,3.8,0.09,0.204,0.294,6.3,0.254,0.937,0.156,0.335,606.1,45.5,0.193,84.0,70.0,146.0,67.0,0.84,0.65,0.68,0.639,0.074,0.256,4.621,0.421,9.152,645.58,74.3,12.02,0.031,0.191,0.805,0.3,885855,0.023,0.029,0.115,708.6,424.6,9.6,72.0,0.188,0.069,14.31,16.65,0.233,0.087,11880.0,0.147,111.0,47876,0.473,13.0,
FL,South,South Atlantic,Escambia County,12033,12033,Region 16,1/1/2014,9310.0,0.198,4.4,4.8,0.1,0.219,0.3,6.181,0.257,0.645,0.152,0.367,581.4,49.6,0.209,64.0,52.0,117.0,59.48,0.78,0.61,0.58,0.615,0.084,0.276,,0.432,,806.36,73.3,13.03,0.0,0.185,0.753,0.229,302715,0.011,0.083,0.124,450.5,451.4,9.1,83.9,0.183,0.13,17.12,12.9,0.253,0.091,10052.0,0.159,92.0,44539,0.515,7.38,0.207
FL,South,South Atlantic,Escambia County,12033,12033,Region 16,1/1/2015,9071.0,0.198,4.4,4.8,0.1,0.219,0.296,5.8,0.244,0.868,0.152,0.394,603.2,48.0,0.199,68.0,55.0,139.0,57.77,0.8,0.62,0.62,0.635,0.073,0.296,4.513,0.432,8.985,772.53,68.8,13.03,0.0,0.194,0.753,0.23,305817,0.01,0.083,0.123,450.5,441.6,9.1,82.3,0.183,0.13,15.64,12.19,0.239,0.089,10245.0,0.159,102.0,42742,0.543,7.7,
FL,South,South Atlantic,Flagler County,12035,12035,Region 15,1/1/2014,6976.0,0.156,4.1,4.8,0.08,0.225,0.284,6.721,0.249,0.501,0.128,0.435,251.6,32.4,0.227,45.0,31.0,34.0,41.77,0.87,0.78,0.7,0.591,0.116,0.255,,0.324,,288.96,62.8,11.35,0.055,0.2,0.81,0.382,98359,0.026,0.103,0.117,103.3,316.0,5.6,45.2,0.17,0.102,21.65,8.26,0.262,0.133,9468.0,0.164,31.0,44460,0.504,2.48,0.181
FL,South,South Atlantic,Flagler County,12035,12035,Region 15,1/1/2015,6960.0,0.156,4.1,4.8,0.08,0.225,0.27,6.5,0.227,0.939,0.128,0.419,312.1,32.4,0.22,44.0,32.0,46.0,43.09,0.88,0.78,0.75,0.595,0.102,0.244,3.99,0.339,6.303,273.51,64.6,11.35,0.031,0.205,0.814,0.387,99956,0.029,0.103,0.121,103.3,315.9,6.2,45.1,0.163,0.102,21.69,10.85,0.254,0.124,9895.0,0.164,30.0,47872,0.521,3.8,
FL,South,South Atlantic,Franklin County,12037,12037,Region 15,1/1/2014,8315.0,0.223,5.5,3.9,0.08,,0.261,7.502,0.288,0.833,0.129,0.5,370.8,79.6,0.233,34.0,7.0,44.0,85.24,0.78,0.56,0.575,0.388,0.067,0.353,,0.497,,813.93,108.1,12.12,0.448,0.184,0.743,0.255,11686,0.013,0.68,0.099,174.3,400.2,,,0.177,0.013,24.47,18.03,0.271,0.118,9507.0,,43.0,37868,0.656,,0.218
FL,South,South Atlantic,Franklin County,12037,12037,Region 15,1/1/2015,8800.0,0.223,5.5,3.9,0.08,,0.253,7.2,0.29,0.875,0.129,0.529,522.0,77.8,0.214,34.0,17.0,60.0,84.81,0.82,0.57,0.575,0.382,0.057,0.389,5.876,0.48,11.124,848.35,83.0,12.12,0.285,0.184,0.738,0.271,11598,0.011,0.68,0.103,174.3,421.6,,,0.175,0.013,22.32,13.64,0.25,0.109,10638.0,,43.0,33471,,,
FL,South,South Atlantic,Gadsden County,12039,12039,Region 15,1/1/2014,10008.0,0.205,3.4,3.3,0.12,0.177,0.371,5.706,0.325,0.225,0.111,0.5,1070.4,68.4,0.238,17.0,18.0,87.0,69.1,0.83,0.66,0.55,0.374,0.091,0.399,,0.592,,860.82,76.9,12.1,0.0,0.186,0.782,0.496,46528,0.021,0.654,0.144,701.1,475.9,12.8,104.0,0.244,0.058,29.02,5.3,0.289,0.113,9591.0,0.191,13.0,35854,0.769,9.05,0.295
FL,South,South Atlantic,Gadsden County,12039,12039,Region 15,1/1/2015,9991.0,0.205,3.4,3.3,0.11,0.177,0.384,5.5,0.309,0.629,0.111,0.426,836.1,65.7,0.234,19.0,22.0,110.0,45.88,0.83,0.64,0.61,0.378,0.076,0.396,5.487,0.584,9.242,688.94,75.1,12.1,0.0,0.217,0.797,0.494,46194,0.024,0.654,0.153,701.1,472.0,11.8,85.9,0.232,0.058,25.4,4.03,0.288,0.102,9371.0,0.191,17.0,34348,0.803,7.9,
FL,South,South Atlantic,Gilchrist County,12041,12041,Region 15,1/1/2014,9223.0,0.174,4.7,3.3,0.07,0.244,0.321,8.201,0.286,0.115,0.152,0.375,329.3,50.3,0.24,35.0,22.0,11.0,103.1,0.86,0.6,0.825,0.451,0.08,0.289,,0.277,,196.08,109.1,11.68,0.0,0.189,0.822,0.485,16815,0.008,0.839,0.109,124.3,449.9,,68.2,0.148,0.002,32.32,16.6,0.284,0.127,10354.0,0.206,48.0,38016,0.458,,
FL,South,South Atlantic,Gilchrist County,12041,12041,Region 15,1/1/2015,8433.0,0.174,4.7,3.3,0.07,0.244,0.313,7.7,0.274,0.311,0.152,0.353,344.9,45.0,0.215,30.0,24.0,18.0,81.48,0.82,0.57,0.875,0.523,0.068,0.322,5.351,0.225,5.947,218.86,104.3,11.68,0.0,0.193,0.807,0.495,16931,0.009,0.839,0.108,124.3,435.8,,,0.157,0.002,33.27,12.8,0.255,0.114,10246.0,0.206,65.0,39854,,,
FL,South,South Atlantic,Glades County,12043,12043,Region 15,1/1/2014,8411.0,0.187,3.5,3.3,0.1,0.175,0.355,7.232,0.338,0.054,0.114,0.31,340.3,51.8,0.329,8.0,7.0,7.0,102.66,0.79,0.59,0.475,0.309,0.091,0.337,,0.52,,304.68,101.4,10.57,0.068,0.126,0.687,0.364,13107,0.087,0.706,0.125,444.5,345.8,,,0.16,0.072,43.52,16.03,0.376,0.214,10802.0,0.203,15.0,37004,0.515,,0.174
FL,South,South Atlantic,Glades County,12043,12043,Region 15,1/1/2015,6805.0,0.187,3.5,3.3,0.09,0.175,0.356,6.8,0.339,0.075,0.114,0.25,335.7,49.5,0.319,,15.0,,111.56,0.87,0.63,0.675,0.347,0.079,0.36,3.941,0.505,6.867,307.09,85.6,10.57,0.069,0.134,0.721,0.299,13345,0.055,0.706,0.131,444.5,303.7,,,0.166,0.072,32.63,14.63,0.364,0.205,12661.0,0.203,15.0,39003,0.525,,
FL,South,South Atlantic,Gulf County,12045,12045,Region 16,1/1/2014,7831.0,0.182,4.3,3.0,0.1,0.24,0.311,7.259,0.276,0.363,0.172,0.529,359.8,44.6,0.215,44.0,42.0,42.0,81.7,0.76,0.55,0.775,0.347,0.085,0.297,,0.459,,392.9,84.4,12.29,0.117,0.147,0.837,0.371,15718,0.005,0.771,0.113,689.7,402.8,,,0.165,0.06,22.59,13.56,0.249,0.12,10742.0,0.172,83.0,34940,0.432,,0.257
FL,South,South Atlantic,Gulf County,12045,12045,Region 16,1/1/2015,7952.0,0.182,4.3,3.0,0.09,0.24,0.316,6.7,0.265,0.472,0.172,0.647,362.6,45.1,0.22,32.0,25.0,57.0,70.37,0.74,0.58,0.875,0.413,0.07,0.297,4.549,0.435,14.633,370.82,90.9,12.29,0.218,0.147,0.831,0.362,15829,0.006,0.771,0.118,689.7,414.7,,,0.175,0.06,23.43,15.32,0.256,0.117,11085.0,0.172,76.0,38880,0.438,,
FL,South,South Atlantic,Hamilton County,12047,12047,Region 15,1/1/2014,9614.0,0.263,6.8,6.2,0.1,0.211,0.373,5.896,0.331,0.206,0.106,0.625,879.3,85.6,0.209,14.0,11.0,,76.33,0.88,0.63,0.675,0.295,0.103,0.376,,0.427,,491.63,83.0,12.03,0.051,0.146,0.826,0.383,14708,0.025,0.635,0.14,934.4,444.9,,117.2,0.211,0.103,31.48,10.82,0.252,0.104,8988.0,0.204,20.0,32232,0.69,9.84,0.245
FL,South,South Atlantic,Hamilton County,12047,12047,Region 15,1/1/2015,9732.0,0.263,6.8,6.2,0.1,0.211,0.386,5.6,0.319,0.726,0.106,0.595,727.5,78.6,0.206,20.0,14.0,7.0,104.48,0.85,0.65,0.575,0.306,0.088,0.405,4.828,0.471,6.799,414.14,85.3,12.03,0.0,0.157,0.814,0.379,14354,0.02,0.635,0.145,934.4,435.5,,111.8,0.204,0.103,26.24,9.72,0.249,0.103,10086.0,0.204,14.0,33836,0.736,,
FL,South,South Atlantic,Hardee County,12049,12049,Region 15,1/1/2014,8156.0,0.194,3.5,2.5,0.08,0.209,0.369,5.642,0.309,0.49,,0.3,380.1,92.3,0.326,25.0,20.0,20.0,95.57,0.86,0.52,0.66,0.238,0.092,0.382,,0.364,,312.53,73.4,10.7,0.0,0.216,0.638,0.355,27514,0.168,0.478,0.132,431.8,386.0,6.9,89.4,0.172,0.203,36.08,5.75,0.409,0.163,11440.0,0.198,29.0,34012,0.691,5.23,0.254
FL,South,South Atlantic,Hardee County,12049,12049,Region 15,1/1/2015,7683.0,0.194,3.5,2.5,0.08,0.209,0.368,5.5,0.305,0.721,,0.378,338.0,88.5,0.296,22.0,29.0,18.0,95.45,0.87,0.56,0.64,0.243,0.081,0.387,4.489,0.374,13.448,308.7,63.6,10.7,0.0,0.221,0.657,0.36,27519,0.161,0.478,0.141,431.8,370.0,8.5,72.2,0.162,0.203,30.06,6.22,0.379,0.134,12090.0,0.198,44.0,34884,0.725,5.5,
FL,South,South Atlantic,Hendry County,12051,12051,Region 15,1/1/2014,8747.0,0.228,3.9,3.5,0.09,0.225,0.344,5.66,0.314,0.33,0.142,0.379,562.8,75.3,0.35,28.0,42.0,36.0,93.85,0.82,0.55,0.661,0.283,0.137,0.397,,0.382,,637.47,90.7,10.54,0.0,0.212,0.623,0.322,37447,0.168,0.379,0.114,424.4,437.4,7.3,70.6,0.202,0.143,40.71,14.06,0.435,0.177,11382.0,0.24,35.0,36515,0.722,9.99,
FL,South,South Atlantic,Hendry County,12051,12051,Region 15,1/1/2015,7391.0,0.228,3.9,3.5,0.09,0.225,0.343,5.6,0.309,0.537,0.142,0.288,542.1,74.0,0.331,32.0,40.0,43.0,87.05,0.83,0.59,0.699,0.308,0.115,0.384,4.717,0.419,9.881,629.04,82.5,10.54,0.012,0.211,0.651,0.38,37471,0.167,0.379,0.119,424.4,376.9,6.6,53.3,0.187,0.143,31.29,12.15,0.42,0.151,11657.0,0.24,40.0,37085,0.728,13.3,
FL,South,South Atlantic,Hernando County,12053,12053,Region 15,1/1/2014,9063.0,0.216,4.8,5.9,0.08,0.226,0.287,6.948,0.262,0.637,0.166,0.209,225.3,35.3,0.222,61.0,37.0,55.0,73.96,0.85,0.7,0.71,0.53,0.109,0.288,,0.362,,347.65,99.9,11.18,0.003,0.173,0.819,0.408,173422,0.015,0.194,0.12,130.5,419.9,7.4,51.8,0.157,0.105,18.82,23.57,0.26,0.12,11675.0,0.155,53.0,37093,0.47,2.68,0.23
FL,South,South Atlantic,Hernando County,12053,12053,Region 15,1/1/2015,8908.0,0.216,4.8,5.9,0.08,0.226,0.294,6.7,0.258,0.892,0.166,0.214,197.2,32.8,0.212,59.0,39.0,64.0,69.65,0.86,0.7,0.74,0.534,0.09,0.256,3.932,0.359,6.689,329.41,112.4,11.18,0.003,0.181,0.831,0.416,174441,0.015,0.194,0.128,130.5,411.4,6.5,47.2,0.154,0.105,18.03,25.29,0.252,0.101,11654.0,0.155,59.0,39280,0.483,3.5,
FL,South,South Atlantic,Highlands County,12055,12055,Region 15,1/1/2014,8610.0,0.218,3.8,4.2,0.08,0.186,0.302,6.418,0.28,0.69,0.115,0.25,283.9,56.2,0.28,59.0,31.0,56.0,73.37,0.81,0.64,0.6,0.447,0.093,0.368,,0.368,,286.1,73.9,10.62,0.143,0.159,0.77,0.202,98128,0.044,0.211,0.137,233.6,365.9,6.6,65.8,0.156,0.159,21.09,11.57,0.332,0.143,11616.0,0.176,64.0,34722,0.597,4.39,0.226
